title	link	date	title_corrected
Determinante la inmigración dominicana en Puerto Rico - Diario Metro de Puerto Rico	https://www.metro.pr/pr/noticias/2013/08/09/determinante-inmigracion-dominicana-puerto-rico.html	2013-08-09	Determinante la inmigración dominicana en Puerto Rico
Alemanes enseñan reglas a refugiados por temor al choque cultural - Diario Metro de Puerto Rico	https://www.metro.pr/pr/mundo/2016/01/31/alemanes-ensenan-reglas-refugiados-temor-choque-cultural.html	2016-01-31	Alemanes enseñan reglas a refugiados por temor al choque cultural
Entomólogo explica migración masiva de mariposas en playa de Aguadilla - Diario Metro de Puerto Rico	https://www.metro.pr/pr/noticias/2016/06/01/entomologo-explica-migracion-masiva-mariposas-playa-aguadilla.html	2016-06-01	Entomólogo explica migración masiva de mariposas en playa de Aguadilla
Richard Gere presenta su nueva película a refugiados en Roma - El Nuevo Dia.com	https://www.elnuevodia.com/entretenimiento/peliculas-series/notas/richard-gere-presenta-su-nueva-pelicula-a-refugiados-en-roma/	2016-06-09	Richard Gere presenta su nueva película a refugiados en Roma
Rescatan 14 inmigrantes cubanos varados en la Isla de Monito - Diario Metro de Puerto Rico	https://www.metro.pr/pr/noticias/2016/10/26/rescatan-14-inmigrantes-cubanos-varados-isla-monito.html	2016-10-26	Rescatan 14 inmigrantes cubanos varados en la Isla de Monito
51 migrantes cubanos llegan a cayos de Florida - Diario Metro de Puerto Rico	https://www.metro.pr/pr/mundo/2016/12/18/51-migrantes-cubanos-llegan-a-cayos-de-florida.html	2016-12-18	51 migrantes cubanos llegan a cayos de Florida
La migración en Puerto Rico alcanza récord histórico - Primera Hora	https://www.primerahora.com/noticias/puerto-rico/notas/la-migracion-en-puerto-rico-alcanza-record-historico/	2017-02-05	La migración en Puerto Rico alcanza récord histórico
Federales interceptan yola con 34 migrantes indocumentados - La Perla del Sur	https://www.periodicolaperla.com/federales-interceptan-yola-34-migrantes-indocumentados/	2017-03-17	Federales interceptan yola con 34 migrantes indocumentados
​Captan a inmigrantes desembarcando en playa llena de turistas - Diario Metro de Puerto Rico	https://www.metro.pr/pr/noticias/2017/08/10/captan-inmigrantes-desembarcando-playa-llena-turistas.html	2017-08-10	​Captan a inmigrantes desembarcando en playa llena de turistas
Llueven las críticas a Joel Osteen porque no abrió su iglesia para refugiados - Diario Metro de Puerto Rico	https://www.metro.pr/pr/noticias/2017/08/29/llueven-las-criticas-joel-osteen-no-abrio-iglesia-refugiados.html	2017-08-29	Llueven las críticas a Joel Osteen porque no abrió su iglesia para refugiados
El Brexit terminará con la inmigración de comunitarios al Reino Unido - Diario Metro de Puerto Rico	https://www.metro.pr/pr/noticias/2017/09/06/brexit-terminara-inmigracion-comunitarios-reino-unido.html	2017-09-06	El Brexit terminará con la inmigración de comunitarios al Reino Unido
IRMA: Sobre un centenar de personas se refugian en el Sureste - La Perla del Sur	https://www.periodicolaperla.com/irma-centenar-personas-se-refugian-sureste/	2017-09-06	IRMA: Sobre un centenar de personas se refugian en el Sureste
Aumenta el número de refugiados y daños por el paso de Irma - Diario Metro de Puerto Rico	https://www.metro.pr/pr/noticias/2017/09/06/danos-victimas-irma-puerto-rico.html	2017-09-06	Aumenta el número de refugiados y daños por el paso de Irma
Los desastres naturales son el promotor de la migración en América - El Nuevo Dia.com	https://www.elnuevodia.com/noticias/mundo/notas/los-desastres-naturales-son-el-promotor-de-la-migracion-en-america/	2017-09-13	Los desastres naturales son el promotor de la migración en América
ASSMCA continúa brindando apoyo emocional a caribeños refugiados - La Perla del Sur	https://www.periodicolaperla.com/assmca-continua-brindando-apoyo-emocional-caribenos-refugiados/	2017-09-17	ASSMCA continúa brindando apoyo emocional a caribeños refugiados
Sin camas para los refugiados en Ponce - La Perla del Sur	https://www.periodicolaperla.com/sin-camas-para-los-refugiados-en-ponce/	2017-09-18	Sin camas para los refugiados en Ponce
